"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species","art_predictions","sex_predictions"
"5364","Dream",52.15,19.65,195.5,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5365","Dream",51.75,19.1,204,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5366","Dream",51.3,19.75,194,3925,"MALE","Chinstrap","Chinstrap","MALE"
"5367","Dream",50.7,18.6,203.5,3737.5,"MALE","Chinstrap","Chinstrap","MALE"
"5368","Dream",50.15,18.95,200,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5369","Dream",51.25,19.1,192,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5370","Dream",50.5,19.5,197,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5371","Dream",51,18.4,198,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5372","Dream",51.6,19.55,198,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5373","Dream",50.05,19.7,197,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5374","Dream",49.95,19.3,202,3700,"MALE","Chinstrap","Chinstrap","MALE"
"5375","Dream",50.25,18.15,198.5,3350,"MALE","Chinstrap","Chinstrap","FEMALE"
"5376","Dream",50.05,19.25,195,3887.5,"MALE","Chinstrap","Chinstrap","MALE"
"5377","Dream",51.15,19.65,199,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5378","Dream",50.65,19.25,193.5,3600,"MALE","Chinstrap","Chinstrap","MALE"
"5379","Dream",52.15,18.95,195.5,3900,"MALE","Chinstrap","Chinstrap","MALE"
"5380","Dream",50.3,18.65,196.5,3375,"MALE","Chinstrap","Chinstrap","FEMALE"
"5381","Dream",51.5,19.4,197,3450,"MALE","Chinstrap","Chinstrap","MALE"
"5382","Dream",50.05,17.85,201.5,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5383","Dream",52.45,19.6,191.5,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5384","Dream",49.8,19.75,199.5,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5385","Dream",52.5,19.85,201.5,3925,"MALE","Chinstrap","Chinstrap","MALE"
"5386","Dream",49.9,20.35,195.5,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5387","Dream",50.35,20.1,201,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5388","Dream",51.5,20.05,195.5,3700,"MALE","Chinstrap","Chinstrap","MALE"
"5389","Dream",50.15,19.15,203.5,3600,"MALE","Chinstrap","Chinstrap","MALE"
"5390","Dream",50.9,19.9,196.5,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5391","Dream",51.4,18.85,200.5,4350,"MALE","Chinstrap","Chinstrap","MALE"
"5392","Dream",51.75,19,207.5,4375,"MALE","Chinstrap","Chinstrap","MALE"
"5393","Dream",49.65,19.2,204,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5394","Dream",50.45,19.35,196,3837.5,"MALE","Chinstrap","Chinstrap","MALE"
"5395","Dream",50.45,19.55,198,4250,"MALE","Chinstrap","Chinstrap","MALE"
"5396","Dream",51.9,19.4,197,3450,"MALE","Chinstrap","Chinstrap","MALE"
"5397","Dream",50.9,19.15,205,4225,"MALE","Chinstrap","Chinstrap","MALE"
"5398","Dream",52.5,19.2,198.5,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5399","Dream",52.05,20.15,206.5,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5400","Dream",50.95,19,201,3787.5,"MALE","Chinstrap","Chinstrap","MALE"
"5401","Dream",51.7,19.2,200,3725,"MALE","Chinstrap","Chinstrap","MALE"
"5402","Dream",50.7,18.95,199,3600,"MALE","Chinstrap","Chinstrap","MALE"
"5403","Dream",51.8,18.15,202.5,3800,"MALE","Chinstrap","Chinstrap","MALE"
"5404","Dream",51.65,19.75,206,3650,"MALE","Chinstrap","Chinstrap","MALE"
"5405","Dream",49.15,19.8,195,4500,"MALE","Chinstrap","Chinstrap","MALE"
"5406","Dream",51.15,19.35,196.5,3625,"MALE","Chinstrap","Chinstrap","MALE"
"5407","Dream",49.75,18.5,198,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5408","Dream",49.35,19,203.5,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5409","Dream",52.4,19.25,210,3912.5,"MALE","Chinstrap","Chinstrap","MALE"
"5410","Dream",49.95,19.4,203.5,3550,"MALE","Chinstrap","Chinstrap","MALE"
"5411","Dream",51.85,19.3,199,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5412","Dream",50,18.9,208.5,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5413","Dream",53.1,19.75,198.5,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5414","Dream",50.25,18.5,200.5,3750,"MALE","Chinstrap","Chinstrap","MALE"
"5415","Dream",50.45,19.15,205.5,3825,"MALE","Chinstrap","Chinstrap","MALE"
"5416","Dream",51.7,18.95,205.5,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5417","Dream",53.55,19.45,207.5,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5418","Dream",49.9,19.25,198.5,3600,"MALE","Chinstrap","Chinstrap","MALE"
"5419","Dream",50.85,18.35,204.5,3887.5,"MALE","Chinstrap","Chinstrap","MALE"
"5420","Dream",53.3,19.35,195,3800,"MALE","Chinstrap","Chinstrap","MALE"
"5421","Dream",50.15,18.65,202,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5422","Dream",50.35,18.75,195.5,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5423","Dream",50.2,19.9,198.5,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5424","Dream",52.2,19.3,201,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5425","Dream",50.15,19.1,192,3400,"MALE","Chinstrap","Chinstrap","MALE"
"5426","Dream",51.75,19.6,196,4150,"MALE","Chinstrap","Chinstrap","MALE"
"5427","Dream",51.4,19.5,201.5,3625,"MALE","Chinstrap","Chinstrap","MALE"
"5428","Dream",49.65,19.55,199,3925,"MALE","Chinstrap","Chinstrap","MALE"
"5429","Dream",50.25,19.35,199,3712.5,"MALE","Chinstrap","Chinstrap","MALE"
"5430","Dream",50.6,18.95,194,3525,"MALE","Chinstrap","Chinstrap","MALE"
"5431","Dream",53.9,18.7,198,4300,"MALE","Chinstrap","Chinstrap","MALE"
"5432","Dream",51.6,19.3,198,3500,"MALE","Chinstrap","Chinstrap","MALE"
"5433","Dream",51,19.45,206.5,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5434","Dream",51.8,19.7,203,3912.5,"MALE","Chinstrap","Chinstrap","MALE"
"5435","Dream",49.3,19.65,202,3912.5,"MALE","Chinstrap","Chinstrap","MALE"
"5436","Dream",52.4,19.1,199.5,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5437","Dream",51.7,19.2,195,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5438","Dream",50.9,20.4,204,3912.5,"MALE","Chinstrap","Chinstrap","MALE"
"5439","Dream",53.45,19.25,197.5,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5440","Dream",50.9,18.2,203.5,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5441","Dream",48.75,19.85,195,3537.5,"MALE","Chinstrap","Chinstrap","MALE"
"5442","Dream",50.9,19.1,202.5,3687.5,"MALE","Chinstrap","Chinstrap","MALE"
"5443","Dream",50.25,18.95,199.5,3750,"MALE","Chinstrap","Chinstrap","MALE"
"5444","Dream",51.4,19.05,203,4162.5,"MALE","Chinstrap","Chinstrap","MALE"
"5445","Dream",51.95,19.3,203,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5446","Dream",51.6,19.3,196.5,4112.5,"MALE","Chinstrap","Chinstrap","MALE"
"5447","Dream",51.3,19.75,204,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5448","Dream",49.8,19.6,199.5,3700,"MALE","Chinstrap","Chinstrap","MALE"
"5449","Dream",49.9,18.2,198,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5450","Dream",51.6,17.85,206,4200,"MALE","Chinstrap","Chinstrap","MALE"
"5451","Dream",51,19.7,193.5,3925,"MALE","Chinstrap","Chinstrap","MALE"
"5452","Dream",50.2,19.9,208.5,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5453","Dream",50.6,20.15,199.5,3662.5,"MALE","Chinstrap","Chinstrap","MALE"
"5454","Dream",52,19,200,4425,"MALE","Chinstrap","Chinstrap","MALE"
"5455","Dream",51.6,19.5,201,3800,"MALE","Chinstrap","Chinstrap","MALE"
"5456","Dream",52.7,19.15,195,4275,"MALE","Chinstrap","Chinstrap","MALE"
"5457","Dream",50.6,18.45,202,3350,"MALE","Chinstrap","Chinstrap","FEMALE"
"5458","Dream",49.95,19.6,198,3937.5,"MALE","Chinstrap","Chinstrap","MALE"
"5459","Dream",52.4,18.9,202.5,4475,"MALE","Chinstrap","Chinstrap","MALE"
"5460","Dream",49.9,18.5,203,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5461","Dream",51.75,18.85,198,3800,"MALE","Chinstrap","Chinstrap","MALE"
"5462","Dream",51.25,19.9,202,3925,"MALE","Chinstrap","Chinstrap","MALE"
"5463","Dream",51.55,18.3,192,4125,"MALE","Chinstrap","Chinstrap","MALE"
"5464","Dream",52,19.5,195.5,3475,"MALE","Chinstrap","Chinstrap","MALE"
"5465","Dream",51.1,20.1,200,4062.5,"MALE","Chinstrap","Chinstrap","MALE"
"5466","Dream",52.3,19.4,199.5,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5467","Dream",51,18.7,204,3450,"MALE","Chinstrap","Chinstrap","MALE"
"5468","Dream",49.95,18.95,194,3750,"MALE","Chinstrap","Chinstrap","MALE"
"5469","Dream",49.55,19.65,200,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5470","Dream",53.15,20.15,203,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5471","Dream",50.4,18.65,199,4250,"MALE","Chinstrap","Chinstrap","MALE"
"5472","Dream",54.2,18.4,211,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5473","Dream",50.75,19.4,204,3912.5,"MALE","Chinstrap","Chinstrap","MALE"
"5474","Dream",50.9,19.9,203,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5475","Dream",51.15,19,199,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5476","Dream",51.2,19.85,198,3800,"MALE","Chinstrap","Chinstrap","MALE"
"5477","Dream",50.5,19.95,203,4150,"MALE","Chinstrap","Chinstrap","MALE"
"5478","Dream",51.05,19.4,193.5,3550,"MALE","Chinstrap","Chinstrap","MALE"
"5479","Dream",49.85,20.35,198,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5480","Dream",51.6,19.8,201,3550,"MALE","Chinstrap","Chinstrap","MALE"
"5481","Dream",51.35,19.9,196,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5482","Dream",51.4,19,197,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5483","Dream",50.25,19.45,194,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5484","Dream",49.85,20.1,199.5,3825,"MALE","Chinstrap","Chinstrap","MALE"
"5485","Dream",50.95,19.7,199.5,3787.5,"MALE","Chinstrap","Chinstrap","MALE"
"5486","Dream",51.8,18.95,206,4125,"MALE","Chinstrap","Chinstrap","MALE"
"5487","Dream",53,18.25,197,4250,"MALE","Chinstrap","Chinstrap","MALE"
"5488","Dream",50.55,19.65,197,3587.5,"MALE","Chinstrap","Chinstrap","MALE"
"5489","Dream",50.6,20.15,203,4250,"MALE","Chinstrap","Chinstrap","MALE"
"5490","Dream",50.6,19.2,200,3887.5,"MALE","Chinstrap","Chinstrap","MALE"
"5491","Dream",51.1,19.75,204,3675,"MALE","Chinstrap","Chinstrap","MALE"
"5492","Dream",51.45,18.35,196.5,4137.5,"MALE","Chinstrap","Chinstrap","MALE"
"5493","Dream",50.9,19.05,201.5,4475,"MALE","Chinstrap","Chinstrap","MALE"
"5494","Dream",50.5,20.3,207.5,4075,"MALE","Chinstrap","Chinstrap","MALE"
"5495","Dream",53.3,18.5,197,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5496","Dream",52.75,18.6,201,3750,"MALE","Chinstrap","Chinstrap","MALE"
"5497","Dream",51.5,19.25,196,4137.5,"MALE","Chinstrap","Chinstrap","MALE"
"5498","Dream",50.9,19.3,199,3787.5,"MALE","Chinstrap","Chinstrap","MALE"
"5499","Dream",50,19,195,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5500","Dream",51.25,20.1,198,3650,"MALE","Chinstrap","Chinstrap","MALE"
"5501","Dream",51.95,19.9,198.5,3862.5,"MALE","Chinstrap","Chinstrap","MALE"
"5502","Dream",51.4,18.15,204.5,3700,"MALE","Chinstrap","Chinstrap","MALE"
"5503","Dream",50.3,19.25,202.5,3675,"MALE","Chinstrap","Chinstrap","MALE"
"5504","Dream",51.65,18.6,199,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5505","Dream",48.75,20.4,205.5,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5506","Dream",51.25,19.4,200.5,3912.5,"MALE","Chinstrap","Chinstrap","MALE"
"5507","Dream",50.1,18.8,197,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5508","Dream",49.95,19.3,197,3675,"MALE","Chinstrap","Chinstrap","MALE"
"5509","Dream",51.35,18.05,196.5,3787.5,"MALE","Chinstrap","Chinstrap","FEMALE"
"5510","Dream",51.4,19.55,202,4037.5,"MALE","Chinstrap","Chinstrap","MALE"
"5511","Dream",51.6,20.05,194,3900,"MALE","Chinstrap","Chinstrap","MALE"
"5512","Dream",53.55,20,204,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5513","Dream",53.9,19.65,202.5,4425,"MALE","Chinstrap","Chinstrap","MALE"
"5514","Dream",50.5,19.05,202,4200,"MALE","Chinstrap","Chinstrap","MALE"
"5515","Dream",52.75,19.35,196,4075,"MALE","Chinstrap","Chinstrap","MALE"
"5516","Dream",50.5,19.1,204,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5517","Dream",50.75,19.55,202,4225,"MALE","Chinstrap","Chinstrap","MALE"
"5518","Dream",53.85,18.85,194.5,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5519","Dream",51.65,19.95,198,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5520","Dream",51.4,18.8,198.5,3650,"MALE","Chinstrap","Chinstrap","MALE"
"5521","Dream",50.65,19.1,203.5,4200,"MALE","Chinstrap","Chinstrap","MALE"
"5522","Dream",50.8,19.7,197,3887.5,"MALE","Chinstrap","Chinstrap","MALE"
"5523","Dream",50.65,19.8,194.5,3675,"MALE","Chinstrap","Chinstrap","MALE"
"5524","Dream",49.1,18.8,195,3825,"MALE","Chinstrap","Chinstrap","MALE"
"5525","Dream",53.2,18.6,198,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5526","Dream",52,19.25,190,4400,"MALE","Chinstrap","Chinstrap","MALE"
"5527","Dream",50.85,19.5,195.5,3825,"MALE","Chinstrap","Chinstrap","MALE"
"5528","Dream",51.15,18.2,201,4125,"MALE","Chinstrap","Chinstrap","MALE"
"5529","Dream",52.4,19.15,198.5,4150,"MALE","Chinstrap","Chinstrap","MALE"
"5530","Dream",50,18.6,204.5,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5531","Dream",49.8,18.7,198.5,4275,"MALE","Chinstrap","Chinstrap","MALE"
"5532","Dream",53.05,18.85,205,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5533","Dream",49.75,19.45,195,4150,"MALE","Chinstrap","Chinstrap","MALE"
"5534","Dream",52.25,18.85,197.5,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5535","Dream",51.4,19.15,195,3687.5,"MALE","Chinstrap","Chinstrap","MALE"
"5536","Dream",52.05,19,207.5,4325,"MALE","Chinstrap","Chinstrap","MALE"
"5537","Dream",51.45,19.75,197,3637.5,"MALE","Chinstrap","Chinstrap","MALE"
"5538","Dream",50.45,19.6,202,3737.5,"MALE","Chinstrap","Chinstrap","MALE"
"5539","Dream",51.3,18.3,201.5,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5540","Dream",49.7,18.85,199.5,3750,"MALE","Chinstrap","Chinstrap","MALE"
"5541","Dream",50.15,18.7,200,3937.5,"MALE","Chinstrap","Chinstrap","MALE"
"5542","Dream",52,19,198,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5543","Dream",53.1,18.5,202.5,4350,"MALE","Chinstrap","Chinstrap","MALE"
"5544","Dream",49.1,19.3,203,3700,"MALE","Chinstrap","Chinstrap","MALE"
"5545","Dream",51.35,19.85,193.5,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5546","Dream",51.65,19,201.5,3525,"MALE","Chinstrap","Chinstrap","MALE"
"5547","Dream",50.25,20.15,203.5,3425,"MALE","Chinstrap","Chinstrap","MALE"
"5548","Dream",52,18.8,204.5,4275,"MALE","Chinstrap","Chinstrap","MALE"
"5549","Dream",52.5,19.3,206.5,3762.5,"MALE","Chinstrap","Chinstrap","MALE"
"5550","Dream",52,20.1,204,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5551","Dream",49.9,19.05,199,4200,"MALE","Chinstrap","Chinstrap","MALE"
"5552","Dream",51.15,19.9,200,3862.5,"MALE","Chinstrap","Chinstrap","MALE"
"5553","Dream",51.4,19.75,203.5,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5554","Dream",53.55,19.35,198.5,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5555","Dream",51.2,18.25,197,4425,"MALE","Chinstrap","Chinstrap","MALE"
"5556","Dream",49.75,20.05,191.5,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5557","Dream",51.7,19.85,206.5,3600,"MALE","Chinstrap","Chinstrap","MALE"
"5558","Dream",49.8,19.85,205.5,4200,"MALE","Chinstrap","Chinstrap","MALE"
"5559","Dream",50.55,19.2,199,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5560","Dream",49.4,19.45,196.5,3762.5,"MALE","Chinstrap","Chinstrap","MALE"
"5561","Dream",51,19.3,199,4325,"MALE","Chinstrap","Chinstrap","MALE"
"5562","Dream",52.1,19.25,198,3800,"MALE","Chinstrap","Chinstrap","MALE"
"5563","Dream",51.6,18.6,206.5,3550,"MALE","Chinstrap","Chinstrap","MALE"
"5564","Dream",49.95,18.85,194.5,3525,"MALE","Chinstrap","Chinstrap","MALE"
"5565","Dream",52.8,20.15,196,3787.5,"MALE","Chinstrap","Chinstrap","MALE"
"5566","Dream",53.6,18.65,203.5,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5567","Dream",51.5,18.8,199,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5568","Dream",51.85,19.1,203.5,3862.5,"MALE","Chinstrap","Chinstrap","MALE"
"5569","Dream",53.85,20.1,197,3750,"MALE","Chinstrap","Chinstrap","MALE"
"5570","Dream",51.1,18.9,206,3912.5,"MALE","Chinstrap","Chinstrap","MALE"
"5571","Dream",52.1,17.85,203.5,3775,"MALE","Chinstrap","Chinstrap","FEMALE"
"5572","Dream",52.1,19.45,207,4450,"MALE","Chinstrap","Chinstrap","MALE"
"5573","Dream",51.4,19.35,197.5,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5574","Dream",50.5,18.75,199,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5575","Dream",50.3,19.25,200,4225,"MALE","Chinstrap","Chinstrap","MALE"
"5576","Dream",50.35,19.15,205.5,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5577","Dream",50.3,18.85,200,3800,"MALE","Chinstrap","Chinstrap","MALE"
"5578","Dream",50.65,19.25,199,3750,"MALE","Chinstrap","Chinstrap","MALE"
"5579","Dream",51.5,19,197.5,3900,"MALE","Chinstrap","Chinstrap","MALE"
"5580","Dream",51.3,19,193,3375,"MALE","Chinstrap","Chinstrap","FEMALE"
"5581","Dream",49.95,19.6,200.5,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5582","Dream",50.5,20,203,4112.5,"MALE","Chinstrap","Chinstrap","MALE"
"5583","Dream",50.3,20.3,205,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5584","Dream",49.55,19.15,193.5,3425,"MALE","Chinstrap","Chinstrap","MALE"
"5585","Dream",52.3,19.75,196,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5586","Dream",51.5,18.6,204,3675,"MALE","Chinstrap","Chinstrap","MALE"
"5587","Dream",51.2,19.95,202.5,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5588","Dream",51.95,19.7,204,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5589","Dream",51.65,19.5,206,3800,"MALE","Chinstrap","Chinstrap","MALE"
"5590","Dream",49.95,19.25,198,4125,"MALE","Chinstrap","Chinstrap","MALE"
"5591","Dream",49.6,19.35,196,4600,"MALE","Chinstrap","Chinstrap","MALE"
"5592","Dream",51.6,19.75,206,3912.5,"MALE","Chinstrap","Chinstrap","MALE"
"5593","Dream",50.65,18.6,197,3925,"MALE","Chinstrap","Chinstrap","MALE"
"5594","Dream",50.95,19.4,198,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5595","Dream",51.3,19.05,195,3587.5,"MALE","Chinstrap","Chinstrap","MALE"
"5596","Dream",50.75,19.75,194.5,4375,"MALE","Chinstrap","Chinstrap","MALE"
"5597","Dream",51.6,19.65,194.5,3625,"MALE","Chinstrap","Chinstrap","MALE"
"5598","Dream",53.3,19.75,204.5,3675,"MALE","Chinstrap","Chinstrap","MALE"
"5599","Dream",50.2,18.65,194,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5600","Dream",50.7,18.6,199,4625,"MALE","Chinstrap","Chinstrap","MALE"
"5601","Dream",51.2,18.95,204,3650,"MALE","Chinstrap","Chinstrap","MALE"
"5602","Dream",48.9,20.1,207.5,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5603","Dream",52.5,20,198,4450,"MALE","Chinstrap","Chinstrap","MALE"
"5604","Dream",50,18.75,206.5,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5605","Dream",51.35,18.8,206.5,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5606","Dream",51.65,18.9,202.5,3500,"MALE","Chinstrap","Chinstrap","MALE"
"5607","Dream",51.7,19,197,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5608","Dream",51.3,18.75,200.5,3425,"MALE","Chinstrap","Chinstrap","MALE"
"5609","Dream",50.95,18.6,192,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5610","Dream",52.2,19.7,193,4075,"MALE","Chinstrap","Chinstrap","MALE"
"5611","Dream",53.3,18.6,199.5,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5612","Dream",53,18.2,196.5,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5613","Dream",50.55,18.5,193,3787.5,"MALE","Chinstrap","Chinstrap","MALE"
"5614","Dream",50.5,19.15,200,3825,"MALE","Chinstrap","Chinstrap","MALE"
"5615","Dream",50.5,19.8,200.5,3925,"MALE","Chinstrap","Chinstrap","MALE"
"5616","Dream",50.65,18.75,206.5,3700,"MALE","Chinstrap","Chinstrap","MALE"
"5617","Dream",51.7,19.5,206,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5618","Dream",50.85,19.7,209.5,3837.5,"MALE","Chinstrap","Chinstrap","MALE"
"5619","Dream",50.75,19.6,196,3550,"MALE","Chinstrap","Chinstrap","MALE"
"5620","Dream",52.05,19.5,203.5,4425,"MALE","Chinstrap","Chinstrap","MALE"
"5621","Dream",50.6,20.1,200,4025,"MALE","Chinstrap","Chinstrap","MALE"
"5622","Dream",50.65,18.65,194,3512.5,"MALE","Chinstrap","Chinstrap","FEMALE"
"5623","Dream",52.6,19,199,4137.5,"MALE","Chinstrap","Chinstrap","MALE"
"5624","Dream",49.5,18.95,202,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5625","Dream",49.3,19.6,200,4125,"MALE","Chinstrap","Chinstrap","MALE"
"5626","Dream",50.45,19.1,195,3925,"MALE","Chinstrap","Chinstrap","MALE"
"5627","Dream",51.8,19.3,191,4250,"MALE","Chinstrap","Chinstrap","MALE"
"5628","Dream",52,19.2,205,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5629","Dream",49.75,18.45,198,3625,"MALE","Chinstrap","Chinstrap","MALE"
"5630","Dream",52.05,19.85,201.5,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5631","Dream",49.6,19.75,199,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5632","Dream",50.5,20.05,203.5,4037.5,"MALE","Chinstrap","Chinstrap","MALE"
"5633","Dream",51.4,18.8,197,4050,"MALE","Chinstrap","Chinstrap","MALE"
"5634","Dream",49.95,18.5,199,3475,"MALE","Chinstrap","Chinstrap","FEMALE"
"5635","Dream",53.2,20.35,206.5,3650,"MALE","Chinstrap","Chinstrap","MALE"
"5636","Dream",51.45,18.5,203.5,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5637","Dream",52.35,19.95,205,3750,"MALE","Chinstrap","Chinstrap","MALE"
"5638","Dream",50.35,18.9,199,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5639","Dream",50.35,19.4,194,3650,"MALE","Chinstrap","Chinstrap","MALE"
"5640","Dream",50.65,19.8,201.5,3550,"MALE","Chinstrap","Chinstrap","MALE"
"5641","Dream",52.75,19.25,198,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5642","Dream",51.9,19.05,199.5,3875,"MALE","Chinstrap","Chinstrap","MALE"
"5643","Dream",49.9,19.55,201.5,3625,"MALE","Chinstrap","Chinstrap","MALE"
"5644","Dream",50.3,19.8,203,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5645","Dream",50,19.35,202,3975,"MALE","Chinstrap","Chinstrap","MALE"
"5646","Dream",51.75,19.4,200.5,4425,"MALE","Chinstrap","Chinstrap","MALE"
"5647","Dream",50.5,19.05,204,3725,"MALE","Chinstrap","Chinstrap","MALE"
"5648","Dream",50.95,19.55,207.5,3950,"MALE","Chinstrap","Chinstrap","MALE"
"5649","Dream",49.9,19.2,201.5,3762.5,"MALE","Chinstrap","Chinstrap","MALE"
"5650","Dream",52.8,19.2,206.5,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5651","Dream",51.7,19.4,206.5,4125,"MALE","Chinstrap","Chinstrap","MALE"
"5652","Dream",49.8,19.75,198,3850,"MALE","Chinstrap","Chinstrap","MALE"
"5653","Dream",50.75,19.05,198,4000,"MALE","Chinstrap","Chinstrap","MALE"
"5654","Dream",52.05,19.9,200.5,3700,"MALE","Chinstrap","Chinstrap","MALE"
"5655","Dream",50,18.75,199.5,4137.5,"MALE","Chinstrap","Chinstrap","MALE"
"5656","Dream",51.55,18.55,207.5,4087.5,"MALE","Chinstrap","Chinstrap","MALE"
"5657","Dream",50.5,20.3,204.5,3775,"MALE","Chinstrap","Chinstrap","MALE"
"5658","Dream",53.1,19.8,193.5,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5659","Dream",50.9,18.6,195.5,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5660","Dream",53.1,19.9,197,3825,"MALE","Chinstrap","Chinstrap","MALE"
"5661","Dream",51.75,18.65,204.5,4100,"MALE","Chinstrap","Chinstrap","MALE"
"5662","Dream",51.4,18.2,199.5,4550,"MALE","Chinstrap","Chinstrap","MALE"
"5663","Dream",51.35,19.25,196.5,4175,"MALE","Chinstrap","Chinstrap","MALE"
"5664","Dream",50.35,19.7,200,3600,"MALE","Chinstrap","Chinstrap","MALE"
"5665","Dream",49.5,19.35,196.5,3700,"MALE","Chinstrap","Chinstrap","MALE"
